Customer ID,Customer Name,Segment,Region,total_orders,total_units,lifetime_value,lifetime_profit,first_purchase,last_purchase,margin_pct
AJ-10795,Anthony Johnson,Corporate,West,3,47,2770.56,44.6,2015-12-29,2018-07-17,1.6
AJ-10945,Ashley Jarboe,Consumer,Central,3,18,1715.16,181.42,2016-06-01,2018-08-31,10.6
AJ-10945,Ashley Jarboe,Consumer,South,1,5,19.46,5.44,2015-03-03,2015-03-03,28.0
AJ-10945,Ashley Jarboe,Consumer,West,2,10,95.28,24.55,2016-11-28,2016-12-14,25.8
AJ-10960,Astrea Jones,Consumer,East,2,19,618.61,82.43,2015-09-14,2015-12-30,13.3
AJ-10960,Astrea Jones,Consumer,West,1,6,10.64,-2.23,2018-10-17,2018-10-17,-21.0
AM-10360,Alice McCarthy,Corporate,Central,2,13,72.6,4.64,2015-10-06,2017-07-16,6.4
AM-10360,Alice McCarthy,Corporate,East,1,7,129.83,-2.51,2018-05-28,2018-05-28,-1.9
AM-10360,Alice McCarthy,Corporate,West,2,42,611.58,69.11,2016-03-23,2018-12-02,11.3
AM-10705,Anne McFarland,Consumer,Central,1,4,383.84,59.53,2018-04-04,2018-04-04,15.5
AM-10705,Anne McFarland,Consumer,East,1,34,2116.51,-42.53,2015-10-31,2015-10-31,-2.0
AM-10705,Anne McFarland,Consumer,South,3,46,2229.21,182.43,2016-09-13,2018-07-21,8.2
AM-10705,Anne McFarland,Consumer,West,3,12,934.46,-88.49,2016-09-20,2018-06-25,-9.5
AO-10810,Anthony O'Donnell,Corporate,West,1,1,161.28,-12.79,2017-08-16,2017-08-16,-7.9
AP-10720,Anne Pryor,Home Office,Central,1,1,27.17,6.29,2016-11-22,2016-11-22,23.2
AP-10720,Anne Pryor,Home Office,East,4,33,513.78,-5.53,2015-03-03,2018-11-19,-1.1
AP-10720,Anne Pryor,Home Office,South,1,5,4.98,3.6,2017-05-23,2017-05-23,72.3
AP-10915,Arthur Prichep,Consumer,South,4,33,952.91,-95.41,2015-10-24,2018-09-03,-10.0
AP-10915,Arthur Prichep,Consumer,West,6,90,2370.65,238.95,2015-08-23,2018-09-23,10.1
AR-10345,Alex Russell,Corporate,Central,2,6,265.09,8.26,2016-09-10,2018-09-08,3.1
AR-10345,Alex Russell,Corporate,East,2,9,790.61,-37.99,2015-12-30,2018-09-10,-4.8
AR-10405,Allen Rosenblatt,Corporate,Central,1,6,41.28,7.12,2018-05-20,2018-05-20,17.2
AR-10405,Allen Rosenblatt,Corporate,East,2,7,1689.36,-139.83,2018-06-19,2018-08-27,-8.3
AR-10405,Allen Rosenblatt,Corporate,South,1,2,239.7,31.98,2016-07-31,2016-07-31,13.3
AR-10405,Allen Rosenblatt,Corporate,West,1,11,265.78,-26.81,2015-10-03,2015-10-03,-10.1
AR-10510,Andrew Roberts,Consumer,Central,1,7,10.8,3.31,2018-12-16,2018-12-16,30.6
AR-10510,Andrew Roberts,Consumer,East,3,19,195.74,36.93,2015-05-02,2017-12-26,18.9
AR-10510,Andrew Roberts,Consumer,West,1,5,58.32,11.89,2016-08-31,2016-08-31,20.4
AR-10540,Andy Reiter,Consumer,Central,1,12,5802.7,623.95,2018-01-16,2018-01-16,10.8
AR-10540,Andy Reiter,Consumer,East,3,10,85.78,-2.63,2015-11-25,2018-12-24,-3.1
AR-10540,Andy Reiter,Consumer,West,2,13,719.97,100.49,2016-04-11,2017-09-29,14.0
AR-10570,Anemone Ratner,Consumer,South,1,14,88.15,12.21,2017-07-14,2017-07-14,13.9
AR-10825,Anthony Rawles,Corporate,Central,1,4,347.8,5.77,2017-09-05,2017-09-05,1.7
AR-10825,Anthony Rawles,Corporate,East,3,15,765.08,29.66,2016-03-08,2018-11-02,3.9
AR-10825,Anthony Rawles,Corporate,West,4,19,3410.46,171.06,2015-06-30,2018-07-21,5.0
AS-10045,Aaron Smayling,Corporate,Central,1,3,1476.27,118.89,2018-08-01,2018-08-01,8.1
AS-10045,Aaron Smayling,Corporate,East,1,1,65.78,7.1,2015-07-27,2015-07-27,10.8
AS-10045,Aaron Smayling,Corporate,South,2,17,771.61,49.36,2017-03-28,2018-01-02,6.4
AS-10045,Aaron Smayling,Corporate,West,3,8,737.03,-49.02,2017-09-25,2018-10-03,-6.7
AS-10090,Adam Shillingsburg,Consumer,Central,4,51,1252.32,-100.77,2016-11-09,2018-04-01,-8.0
AS-10090,Adam Shillingsburg,Consumer,East,3,42,1954.37,80.1,2015-09-22,2018-09-16,4.1
AS-10090,Adam Shillingsburg,Consumer,South,1,4,34.65,12.09,2018-12-02,2018-12-02,34.9
AS-10090,Adam Shillingsburg,Consumer,West,1,4,13.97,5.38,2015-12-24,2015-12-24,38.5
AS-10135,Adrian Shami,Home Office,East,1,8,54.64,5.46,2018-11-19,2018-11-19,10.0
AS-10135,Adrian Shami,Home Office,West,1,7,4.18,3.82,2017-11-13,2017-11-13,91.4
AS-10225,Alan Schoenberger,Corporate,East,1,3,26.8,-0.85,2016-05-04,2016-05-04,-3.2
AS-10225,Alan Schoenberger,Corporate,South,1,7,2216.8,247.42,2015-10-18,2015-10-18,11.2
AS-10225,Alan Schoenberger,Corporate,West,3,51,2017.18,2.48,2017-12-02,2018-12-08,0.1
AS-10240,Alan Shonely,Consumer,East,1,7,59.18,4.42,2018-06-21,2018-06-21,7.5
AS-10240,Alan Shonely,Consumer,South,2,22,376.34,50.75,2015-03-15,2016-03-29,13.5
AS-10240,Alan Shonely,Consumer,West,2,11,68.45,13.84,2015-10-11,2017-06-25,20.2
AS-10285,Alejandro Savely,Corporate,Central,3,22,2879.87,-322.81,2017-05-21,2018-12-11,-11.2
AS-10285,Alejandro Savely,Corporate,East,1,2,23.99,4.98,2017-11-05,2017-11-05,20.8
AS-10285,Alejandro Savely,Corporate,West,2,17,310.38,33.04,2017-10-28,2017-11-04,10.6
AS-10630,Ann Steele,Home Office,Central,1,6,372.45,34.45,2018-09-29,2018-09-29,9.2
AS-10630,Ann Steele,Home Office,East,1,5,5.68,-2.26,2015-08-01,2015-08-01,-39.8
AS-10630,Ann Steele,Home Office,South,3,18,49.98,31.48,2017-09-22,2018-04-30,63.0
AS-10630,Ann Steele,Home Office,West,2,16,405.3,13.45,2015-12-07,2016-09-03,3.3
AT-10435,Alyssa Tate,Home Office,East,1,1,11.12,4.59,2018-04-02,2018-04-02,41.3
AT-10435,Alyssa Tate,Home Office,South,1,4,3.44,0.74,2016-09-06,2016-09-06,21.5
AT-10435,Alyssa Tate,Home Office,West,3,16,1151.51,-88.54,2015-12-27,2018-12-09,-7.7
AT-10735,Annie Thurman,Consumer,Central,2,8,399.9,60.77,2017-05-30,2018-08-01,15.2
AT-10735,Annie Thurman,Consumer,East,4,30,3126.16,337.52,2015-08-30,2018-12-17,10.8
AT-10735,Annie Thurman,Consumer,South,1,6,147.34,26.48,2015-11-03,2015-11-03,18.0
AT-10735,Annie Thurman,Consumer,West,3,7,158.46,12.85,2017-09-09,2018-07-07,8.1
AW-10840,Anthony Witt,Consumer,Central,1,11,30.26,11.23,2016-11-29,2016-11-29,37.1
AW-10840,Anthony Witt,Consumer,East,1,9,321.25,-7.32,2018-12-10,2018-12-10,-2.3
AW-10840,Anthony Witt,Consumer,West,2,24,297.86,59.98,2016-04-13,2018-09-02,20.1
AW-10930,Arthur Wiediger,Home Office,Central,4,48,1748.02,163.55,2015-07-14,2018-11-14,9.4
AW-10930,Arthur Wiediger,Home Office,East,1,5,4.93,-9.66,2017-10-07,2017-10-07,-195.9
AW-10930,Arthur Wiediger,Home Office,West,2,25,1100.02,143.32,2016-11-13,2018-08-31,13.0
AY-10555,Andy Yotov,Corporate,East,1,7,8.02,6.07,2015-12-26,2015-12-26,75.7
AY-10555,Andy Yotov,Corporate,West,3,33,489.0,11.91,2015-04-06,2018-12-16,2.4
AZ-10750,Annie Zypern,Consumer,Central,2,19,146.72,-0.69,2015-03-17,2018-07-23,-0.5
AZ-10750,Annie Zypern,Consumer,East,2,9,403.42,-0.94,2015-03-25,2016-05-12,-0.2
AZ-10750,Annie Zypern,Consumer,West,2,18,1071.88,4.65,2016-04-22,2017-02-05,0.4
BB-10990,Barry Blumstein,Corporate,Central,1,10,374.08,53.03,2016-11-02,2016-11-02,14.2
BB-10990,Barry Blumstein,Corporate,East,1,1,17.48,5.6,2018-06-01,2018-06-01,32.0
BB-10990,Barry Blumstein,Corporate,West,3,25,352.78,38.96,2015-07-27,2018-09-16,11.0
BB-11545,Brenda Bowman,Corporate,Central,5,53,1971.91,-142.25,2016-06-05,2018-09-15,-7.2
BB-11545,Brenda Bowman,Corporate,East,2,19,2256.75,58.17,2017-12-26,2018-08-12,2.6
BB-11545,Brenda Bowman,Corporate,South,1,5,1158.12,153.17,2018-11-11,2018-11-11,13.2
BB-11545,Brenda Bowman,Corporate,West,1,10,1378.95,31.61,2018-12-02,2018-12-02,2.3
BC-11125,Becky Castell,Home Office,Central,1,6,340.12,6.42,2015-09-13,2015-09-13,1.9
BC-11125,Becky Castell,Home Office,East,3,23,669.38,82.68,2016-06-20,2017-08-12,12.4
BC-11125,Becky Castell,Home Office,West,5,48,1924.18,99.67,2015-07-06,2018-06-11,5.2
BD-11320,Bill Donatelli,Consumer,Central,3,12,2924.55,102.41,2016-05-31,2018-09-23,3.5
BD-11320,Bill Donatelli,Consumer,East,2,12,562.5,15.22,2017-10-31,2018-04-12,2.7
BD-11320,Bill Donatelli,Consumer,West,7,46,2231.48,117.35,2017-04-15,2018-11-27,5.3
BD-11500,Bradley Drucker,Consumer,Central,2,10,813.17,108.35,2015-02-01,2015-10-14,13.3
BD-11500,Bradley Drucker,Consumer,South,3,21,3228.09,503.93,2016-09-16,2018-01-26,15.6
BD-11500,Bradley Drucker,Consumer,West,1,4,369.98,-41.87,2018-11-25,2018-11-25,-11.3
BD-11560,Brendan Dodson,Home Office,South,1,2,151.96,16.46,2016-05-30,2016-05-30,10.8
BD-11560,Brendan Dodson,Home Office,West,1,19,168.58,30.8,2018-03-27,2018-03-27,18.3
BD-11605,Brian Dahlen,Consumer,East,2,8,192.99,-2.39,2016-12-26,2017-12-30,-1.2
BD-11605,Brian Dahlen,Consumer,South,3,44,910.45,32.88,2016-06-11,2018-09-24,3.6
BD-11605,Brian Dahlen,Consumer,West,1,13,1679.75,123.36,2015-01-13,2015-01-13,7.3
BD-11620,Brian DeCherney,Consumer,Central,1,12,582.07,11.21,2018-10-22,2018-10-22,1.9
BD-11620,Brian DeCherney,Consumer,East,2,12,148.13,16.05,2017-03-08,2017-12-25,10.8
BD-11620,Brian DeCherney,Consumer,South,1,2,310.69,55.39,2015-06-30,2015-06-30,17.8
BD-11620,Brian DeCherney,Consumer,West,2,8,497.22,30.32,2017-10-01,2017-12-31,6.1
BD-11635,Brian Derr,Consumer,East,2,14,511.65,42.61,2015-10-05,2016-12-05,8.3
BD-11635,Brian Derr,Consumer,South,1,7,71.0,9.43,2018-12-21,2018-12-21,13.3
BD-11725,Bruce Degenhardt,Consumer,East,1,7,46.72,6.78,2017-02-25,2017-02-25,14.5
BD-11725,Bruce Degenhardt,Consumer,South,3,22,1294.83,112.41,2016-07-03,2018-05-30,8.7
BD-11725,Bruce Degenhardt,Consumer,West,2,15,184.95,10.53,2018-08-03,2018-09-28,5.7
BD-11770,Bryan Davis,Consumer,Central,1,3,86.35,29.05,2017-05-02,2017-05-02,33.6
BD-11770,Bryan Davis,Consumer,East,4,16,428.87,-12.7,2017-03-10,2018-02-06,-3.0
BD-11770,Bryan Davis,Consumer,West,1,13,143.24,2.07,2017-09-10,2017-09-10,1.4
BE-11335,Bill Eplett,Home Office,Central,2,14,3501.9,480.68,2017-07-25,2018-09-02,13.7
BE-11335,Bill Eplett,Home Office,East,2,13,490.94,56.72,2017-01-15,2018-07-17,11.6
BE-11335,Bill Eplett,Home Office,West,1,5,211.84,-4.79,2018-03-23,2018-03-23,-2.3
BE-11410,Bobby Elias,Consumer,Central,2,7,1918.33,238.3,2017-10-14,2018-01-21,12.4
BE-11410,Bobby Elias,Consumer,East,1,4,30.35,13.46,2017-02-07,2017-02-07,44.3
BE-11410,Bobby Elias,Consumer,South,1,6,251.64,42.58,2018-09-23,2018-09-23,16.9
BE-11410,Bobby Elias,Consumer,West,1,7,61.12,9.18,2017-11-18,2017-11-18,15.0
BE-11455,Brad Eason,Home Office,Central,3,7,188.32,26.61,2016-09-14,2017-09-05,14.1
BE-11455,Brad Eason,Home Office,East,2,27,559.71,91.91,2016-08-02,2017-05-06,16.4
BF-10975,Barbara Fisher,Corporate,Central,1,15,328.54,54.15,2017-11-20,2017-11-20,16.5
BF-10975,Barbara Fisher,Corporate,East,3,11,49.72,2.87,2015-07-14,2018-09-30,5.8
BF-10975,Barbara Fisher,Corporate,South,3,34,221.53,26.39,2015-08-01,2016-07-05,11.9
BF-11005,Barry Franz,Home Office,Central,1,12,327.42,-15.64,2017-07-28,2017-07-28,-4.8
BF-11005,Barry Franz,Home Office,West,3,35,1006.46,155.34,2015-09-25,2018-11-21,15.4
BF-11020,Barry Französisch,Corporate,Central,3,42,1026.57,63.93,2017-07-07,2018-09-18,6.2
BF-11020,Barry Französisch,Corporate,East,1,3,1035.8,90.57,2016-10-30,2016-10-30,8.7
BF-11020,Barry Französisch,Corporate,South,1,15,269.4,-1.37,2018-04-01,2018-04-01,-0.5
BF-11020,Barry Französisch,Corporate,West,3,20,556.74,37.95,2015-02-15,2018-10-17,6.8
BF-11080,Bart Folk,Consumer,East,2,24,258.28,44.06,2018-09-12,2018-12-05,17.1
BF-11080,Bart Folk,Consumer,South,1,1,14.67,3.15,2015-11-28,2015-11-28,21.5
BF-11170,Ben Ferrer,Home Office,Central,2,12,260.99,59.26,2016-05-13,2017-04-30,22.7
BF-11170,Ben Ferrer,Home Office,East,2,29,1851.23,124.61,2015-04-13,2018-12-14,6.7
BF-11170,Ben Ferrer,Home Office,South,3,32,1803.93,256.45,2016-05-26,2017-04-17,14.2
BF-11170,Ben Ferrer,Home Office,West,4,41,1991.81,266.37,2015-07-12,2018-03-06,13.4
BF-11215,Benjamin Farhat,Home Office,Central,2,14,748.56,-74.18,2017-06-09,2018-10-26,-9.9
BF-11215,Benjamin Farhat,Home Office,East,1,4,56.52,-1.38,2015-11-09,2015-11-09,-2.4
BF-11215,Benjamin Farhat,Home Office,West,1,23,780.09,113.61,2018-03-13,2018-03-13,14.6
BF-11275,Beth Fritzler,Corporate,South,2,11,403.29,60.77,2018-07-10,2018-11-03,15.1
BF-11275,Beth Fritzler,Corporate,West,1,7,388.7,13.19,2015-03-22,2015-03-22,3.4
BG-11035,Barry Gonzalez,Consumer,Central,2,23,244.47,30.02,2016-12-31,2017-11-17,12.3
BG-11035,Barry Gonzalez,Consumer,South,6,35,2554.48,277.59,2015-11-05,2018-12-02,10.9
BG-11695,Brooke Gillingham,Corporate,Central,2,12,878.78,3.54,2017-12-27,2018-11-24,0.4
